time,island_name,colony_code,num_breeding_pairs,num_chicks
23/01/2004,CHR,9.1,43,50
23/01/2004,CHR,10,0,0
23/01/2004,CHR,11,2,0
23/01/2004,COR,1,0,0
23/01/2004,COR,2,62,67
23/01/2004,COR,3,44,32
23/01/2004,COR,4,0,0
23/01/2004,COR,5,135,130
23/01/2004,COR,5.1,86,103
23/01/2004,COR,6,0,0
26/01/2005,HUM,1.1,0,0
26/01/2005,HUM,1.2,0,0
26/01/2005,HUM,1.3,0,0
26/01/2005,HUM,2.1,45,40
26/01/2005,HUM,2.2,45,50
26/01/2005,HUM,3,0,0
26/01/2005,HUM,3.1,0,0
26/01/2005,HUM,4,20,23
26/01/2005,HUM,5,78,73
26/01/2005,TOR,1,0,0
26/01/2005,TOR,2,0,0
26/01/2005,TOR,3,0,0
26/01/2005,TOR,4,63,54
26/01/2005,TOR,5,28,26
26/01/2005,TOR,12,42,25
26/01/2005,TOR,13,17,19
26/01/2005,TOR,15,76,90
26/01/2005,TOR,17,0,0
26/01/2005,TOR,18,0,45
26/01/2005,TOR,19,0,296
26/01/2005,TOR,20,69,94
26/01/2005,TOR,21,0,0
26/01/2005,TOR,22,0,0
26/01/2005,TOR,23,42,12
26/01/2005,TOR,23.1,0,0
27/01/2005,CHR,1,45,27
27/01/2005,CHR,2,0,0
27/01/2005,CHR,3,26,37
27/01/2005,CHR,3.1,0,0
27/01/2005,CHR,4.1,0,0
27/01/2005,CHR,5,14,7
27/01/2005,CHR,6,76,98
27/01/2005,CHR,7,0,0
27/01/2005,CHR,7.1,0,0
27/01/2005,CHR,7.2,0,39
27/01/2005,CHR,8,94,99
27/01/2005,CHR,9.1,41,43
27/01/2005,CHR,10,0,0
27/01/2005,CHR,11,0,0
27/01/2005,COR,1,0,0
27/01/2005,COR,2,48,54
27/01/2005,COR,3,31,42
27/01/2005,COR,4,0,0
27/01/2005,COR,5,0,52
27/01/2005,COR,5.1,69,79
27/01/2005,COR,6,0,0
27/01/2005,LIT,1,0,0
27/01/2005,LIT,2,0,0
27/01/2005,LIT,3,0,0
27/01/2005,LIT,4,0,0
27/01/2005,LIT,5,0,0
27/01/2005,LIT,6,0,0
27/01/2005,LIT,7,0,0
27/01/2005,LIT,8,30,14
27/01/2005,LIT,9,0,0
16/01/2006,LIT,1,0,0
16/01/2006,LIT,2,0,0
16/01/2006,LIT,3,0,0
16/01/2006,LIT,4,0,0
16/01/2006,LIT,5,0,0
16/01/2006,LIT,6,0,0
16/01/2006,LIT,7,0,0
16/01/2006,LIT,8,6,5
16/01/2006,LIT,9,0,0
18/01/2006,CHR,1,40,30
18/01/2006,CHR,2,0,0
18/01/2006,CHR,3,40,35
18/01/2006,CHR,3.1,0,0
18/01/2006,CHR,4.1,0,0
18/01/2006,CHR,5,12,4
18/01/2006,CHR,6,75,90
18/01/2006,CHR,7,243,246
18/01/2006,CHR,7.1,0,0
18/01/2006,CHR,7.2,27,23
18/01/2006,CHR,8,98,95
18/01/2006,CHR,9.1,36,49
18/01/2006,CHR,10,0,0
18/01/2006,CHR,11,0,0
18/01/2006,COR,1,0,0
18/01/2006,COR,2,52,60
18/01/2006,COR,3,32,42
18/01/2006,COR,4,0,0
18/01/2006,COR,5,23,21
18/01/2006,COR,5.1,66,75
18/01/2006,COR,6,0,0
18/01/2006,HUM,1.1,0,0
18/01/2006,HUM,1.2,0,0
18/01/2006,HUM,1.3,0,0
18/01/2006,HUM,2.1,23,42
