study_name,time,sample_number,source,prey_type,species_code,evidence_code,num_fish,evidence_size,evidence_weight,estimated_fish_length,estimated_fish_weight,notes
PAL0708,2008-01-11T00:00:00Z,7007,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0708,2008-01-18T00:00:00Z,7013,STOM,FISH,UNKN,OTO,2,0.0,1,0,0,NaN
PAL0708,2008-01-18T00:00:00Z,7015,STOM,FISH,UNKN,OTO,8,0.0,1,0,0,NaN
PAL0708,2008-01-27T00:00:00Z,7019,STOM,FISH,UNKN,OTO,2,0.0,1,0,0,NaN
PAL0708,2008-01-27T00:00:00Z,7020,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0708,2008-02-02T00:00:00Z,7021,STOM,FISH,UNKN,FLESH,0,0.0,1,0,0,NaN
PAL0708,2008-02-02T00:00:00Z,7022,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0708,2008-02-02T00:00:00Z,7024,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0809,2009-01-07T00:00:00Z,8002,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0809,2009-01-19T00:00:00Z,8007,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0809,2009-02-02T00:00:00Z,8017,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0910,2010-01-03T00:00:00Z,9001,STOM,FISH,UNKN,BONES,1,0.0,1,0,0,NaN
PAL0910,2010-01-03T00:00:00Z,9003,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL0910,2010-01-12T00:00:00Z,9008,STOM,FISH,UNKN,OTOS,2,0.0,0,0,1,NaN
PAL0910,2010-01-19T00:00:00Z,9009,STOM,FISH,UNKN,OTOS,1,0.0,0,0,1,NaN
PAL0910,2010-01-19T00:00:00Z,9010,STOM,FISH,UNKN,OTOS,14,0.0,0,0,1,NaN
PAL0910,2010-01-19T00:00:00Z,9011,STOM,FISH,UNKN,SPECIMEN,1,0.0,3,55,3,NaN
PAL0910,2010-01-19T00:00:00Z,9011,STOM,FISH,UNKN,OTOS/FLESH,8,0.0,1,0,1,NaN
PAL0910,2010-01-19T00:00:00Z,9012,STOM,FISH,UNKN,OTOS,11,0.0,0,0,1,NaN
PAL0910,2010-01-19T00:00:00Z,9013,STOM,FISH,UNKN,OTOS,1,0.0,0,0,1,NaN
PAL0910,2010-01-26T00:00:00Z,9015,STOM,FISH,UNKN,OTOS,2,0.0,0,0,1,NaN
PAL0910,2010-01-26T00:00:00Z,9016,STOM,FISH,UNKN,OTOS,1,0.0,0,0,1,NaN
PAL0910,2010-01-26T00:00:00Z,9018,STOM,FISH,UNKN,OTOS,1,0.0,0,0,1,NaN
PAL0910,2010-02-04T00:00:00Z,9019,STOM,FISH,UNKN,OTOS,2,0.0,0,0,1,NaN
PAL0910,2010-02-04T00:00:00Z,9021,STOM,FISH,UNKN,OTOS,2,0.0,0,0,1,NaN
PAL0910,2010-02-04T00:00:00Z,9023,STOM,FISH,UNKN,OTOS,1,0.0,0,0,1,NaN
PAL1011,2011-01-01T00:00:00Z,10002,STOM,FISH,UNKN,OTOS,2,0.0,1,0,0,NaN
PAL1011,2011-01-01T00:00:00Z,10005,STOM,FISH,UNKN,OTOS,2,0.0,1,0,0,NaN
PAL1011,2011-01-07T00:00:00Z,10007,STOM,FISH,UNKN,OTOS,2,0.0,1,0,0,NaN
PAL1011,2011-01-07T00:00:00Z,10008,STOM,FISH,UNKN,"OTOS, BONE",2,0.0,1,0,0,NaN
PAL1011,2011-01-07T00:00:00Z,10010,STOM,FISH,UNKN,FLESH,0,0.0,0,0,0,NaN
PAL1011,2011-01-15T00:00:00Z,10014,STOM,FISH,UNKN,"FLESH, BONE",1,0.0,1,0,0,NaN
PAL1011,2011-01-27T00:00:00Z,10022,STOM,FISH,UNKN,"OTO, FLESH",NaN,0.0,1,0,0,NaN
PAL1011,2011-01-27T00:00:00Z,10024,STOM,FISH,UNKN,OTOS,2,0.0,1,0,0,NaN
PAL1011,2011-01-27T00:00:00Z,10025,STOM,FISH,UNKN,FLESH,0,0.0,0,0,0,NaN
PAL1112,2012-01-08T00:00:00Z,11003,STOM,FISH,UNKN,"FLESH, OTOS",2,0.0,1,0,0,NaN
